Name,ISIN,Symbol,Market,Currency,Turnover,MIC
STEEL DYNAMICS,US8581191009,4STLD,EuroTLX,EUR,10776.00,ETLX
STEF,FR0000064271,STF,Euronext Paris,EUR,415227.60,XPAR
STEICO,DE000A0LR936,4ST,EuroTLX,EUR,8400.00,ETLX
STELLANTIS,NL00150001Q9,STLAM,Euronext Milan,EUR,423089433.52,MTAA
STELLANTIS NV,NL00150001Q9,STLAP,Euronext Paris,EUR,64195757795,XPAR
STIF,FR001400MDW2,ALSTI,Euronext Growth Paris,EUR,6031843.65,ALXP
STMICROELECTRONICS,NL0000226223,STMMI,Euronext Milan,EUR,289454460.3675,MTAA
STMICROELECTRONICS,NL0000226223,STMPA,Euronext Paris,EUR,120666968.03,XPAR
STOLT-NIELSEN,BMG850801025,SNI,Oslo Børs,NOK,29686882.00,XOSL
STOREBRAND,NO0003053605,STB,Oslo Børs,NOK,64808485.20,XOSL
STRADIM ESPAC.FIN,FR0000074775,ALSAS,Euronext Growth Paris,EUR,2051.10,ALXP
STREAMWIDE,FR0010528059,ALSTW,Euronext Growth Paris,EUR,160944.70,ALXP
STREAMWIDE BS25,FR001400DG11,STWBS,Euronext Growth Paris,EUR,-,ALXP
STREAMWIDE BS25-2,FR001400DGA0,STRBS,Euronext Growth Paris,EUR,-,ALXP
STREIT MECANIQUE,FR0000063976,MLSTR,Euronext Access Paris,EUR,12638.00,XMLI
STRONGPOINT,NO0010098247,STRO,Oslo Børs,NOK,419366.60,XOSL
STRYKER,US8636671013,4SYK,EuroTLX,EUR,16900.00,ETLX
STUDENT PROPERTY,ES0105851002,MLSPI,Euronext Access Paris,EUR,-,XMLI
SUBSEA 7,LU0075646355,SUBC,Oslo Børs,NOK,97529237.80,XOSL
SUMO RESOURCES PLC,GB00B8GJBS16,MLSUM,Euronext Access Paris,EUR,299.75,XMLI
Super Micro C,US86800U3023,4SMCI,EuroTLX,EUR,1813.98,ETLX
SURONGO,BE0003527356,-,Euronext Expert Market,EUR,204.00,VPXB
SVAS BIOSANA,IT0005469264,SVS,Euronext Growth Milan,EUR,8883.82,EXGM
SWORD GROUP,FR0004180578,SWP,Euronext Paris,EUR,205544725,XPAR
SYENSQO,BE0974464977,SYENS,Euronext Brussels,EUR,8941942.91,XBRU
SYNERGIE,FR0000032658,SDG,Euronext Paris,EUR,31957.20,XPAR
SYS-DAT,IT0005595423,SYS,Euronext Milan,EUR,834284.48,MTAA
T ROWE PRICE GROUP,US74144T1088,4TROW,EuroTLX,EUR,73.80,ETLX
T-MOBILE US,US8725901040,4TMUS,EuroTLX,EUR,42100.00,ETLX
TALEA,IT0005378333,TALEA,Euronext Growth Milan,EUR,2135.04,EXGM
TAMBURI,IT0003153621,TIP,Euronext Milan,EUR,2369669.59,MTAA
TARGET,US87612E1064,4TGT,EuroTLX,EUR,524.76,ETLX
TARKETT,FR0004188670,TKTT,Euronext Paris,EUR,34742.80,XPAR
TATATU,IT0005507857,ALTTU,Euronext Growth Paris,EUR,5.45,ALXP
TAYNINH,FR0000063307,TAYN,Euronext Paris,EUR,89.50,XPAR
TEAMVIEWER,DE000A2YN900,4TMV,EuroTLX,EUR,84060.00,ETLX
TECHNIP ENERGIES,NL0014559478,TE,Euronext Paris,EUR,5419789.92,XPAR
TECHNOGYM,IT0005162406,TGYM,Euronext Milan,EUR,1896934.79,MTAA
TECHNOPROBE,IT0005482333,TPRO,Euronext Milan,EUR,5178281.26,MTAA
TECHSTEP,NO0012916131,TECH,Oslo Børs,NOK,154167.45,XOSL
TECMA SOLUTIONS,IT0005425050,TCM,Euronext Growth Milan,EUR,34572.00,EXGM
TECNO,IT0005658841,TCG,Euronext Growth Milan,EUR,86265.25,EXGM
TEIXEIRA DUARTE,PTTD10AM0000,TDSA,Euronext Lisbon,EUR,956002539,XLIS
TEKNA HOLDING,NO0010951577,TEKNA,Oslo Børs,NOK,89823.29,XOSL
TELECOM ITALIA,IT0003497168,TIT,Euronext Milan,EUR,55962264.3084,MTAA
TELECOM ITALIA R,IT0003497176,TITR,Euronext Milan,EUR,8973228.9955,MTAA
TELEFONICA,ES0178430E18,4TEF,EuroTLX,EUR,5560.40,ETLX
TELENOR,NO0010063308,TEL,Oslo Børs,NOK,163146547.90,XOSL
TELEPERFORMANCE,FR0000051807,TEP,Euronext Paris,EUR,19846793.49,XPAR
TELEPERFORMANCE,FR0000051807,4TEP,EuroTLX,EUR,830.60,ETLX
TELESIA,IT0005240046,TLS,Euronext Growth Milan,EUR,3576.00,EXGM
TELEVERBIER,CH0008175645,TVRB,Euronext Paris,EUR,163.50,XPAR
TELEVISTA,FR0011076595,MLVST,Euronext Access Paris,EUR,2.26,XMLI
TENARIS,LU2598331598,TEN,Euronext Milan,EUR,27630375.75,MTAA
TENAX INTERNAT,IT0005428898,TNX,Euronext Growth Milan,EUR,6440.00,EXGM
TERACT,FR001400BMH7,TRACT,Euronext Paris,EUR,684588,XPAR
TERACT BS,FR0014000TB2,TERBS,Euronext Paris,EUR,17.24,XPAR
TERNA,IT0003242622,TRN,Euronext Milan,EUR,44045364398,MTAA
TESLA,US88160R1014,4TSLA,EuroTLX,EUR,9454.65,ETLX
TESMEC,IT0004585243,TES,Euronext Milan,EUR,254408.4546,MTAA
TESSELLIS,IT0005496473,TSL,Euronext Milan,EUR,260389.5756,MTAA
TESSENDERLO,BE0003555639,TESB,Euronext Brussels,EUR,909665.30,XBRU
TETRAGON FIN GRP,GG00B1RMC548,TFG,Euronext Amsterdam,USD,363336.25,XAMS
TEXAF,BE0974263924,TEXF,Euronext Brussels,EUR,11153.60,XBRU
TEXAS INSTRUMENTS,US8825081040,4TXN,EuroTLX,EUR,171.90,ETLX
TF1,FR0000054900,TFI,Euronext Paris,EUR,1321447595,XPAR
TFF GROUP,FR0013295789,TFF,Euronext Paris,EUR,160635.20,XPAR
TGS,NO0003078800,TGS,Oslo Børs,NOK,21006538.45,XOSL
THALES,FR0000121329,HO,Euronext Paris,EUR,128148258.85,XPAR
THALES,FR0000121329,4HO,EuroTLX,EUR,1440.30,ETLX
THE AZUR SELECTION,GRS528003007,MLAZR,Euronext Access Paris,EUR,1863.06,XMLI
THE BANK OF NY MEL,US0640581007,4BK,EuroTLX,EUR,672.80,ETLX
THE BLOCKCHAIN GP,FR0011053636,ALTBG,Euronext Growth Paris,EUR,4760050.1925,ALXP
THE CLOROX COMPANY,US1890541097,4CLX,EuroTLX,EUR,496.00,ETLX
THE COCA-COLA COMP,US1912161007,4KO,EuroTLX,EUR,4971.12,ETLX
THE ITALIAN SEA G,IT0005439085,TISG,Euronext Milan,EUR,309479.68,MTAA
THE KINGFISH COMP,NL00150001S5,KING,Euronext Growth Oslo,NOK,7878.10,MERK
THE KRAFT HEINZ,US5007541064,4KHC,EuroTLX,EUR,181.60,ETLX
THE LONDON TUNNELS,GB00BS28ZN53,TLT,Euronext Amsterdam,GBP,1176.38,XAMS
THE NAVIGATOR COMP,PTPTI0AM0006,NVG,Euronext Lisbon,EUR,2057712964,XLIS
THE SOUTHERN COMP,US8425871071,4SO,EuroTLX,EUR,406.00,ETLX
THE TRAVELERS COMP,US89417E1091,4TRV,EuroTLX,EUR,235.30,ETLX
THE WALT DISNEY,US2546871060,4DIS,EuroTLX,EUR,3098.40,ETLX
THEON INTERNAT,CY0200751713,THEON,Euronext Amsterdam,EUR,4793799875,XAMS
THERACLION,FR0010120402,ALTHE,Euronext Growth Paris,EUR,78573332,ALXP
THERANEXUS,FR0013286259,ALTHX,Euronext Growth Paris,EUR,86561.76,ALXP
THERMADOR GROUPE,FR0013333432,THEP,Euronext Paris,EUR,173963.10,XPAR
THERMO FISHER SC,US8835561023,4TMO,EuroTLX,EUR,1392.00,ETLX
THOR MEDICAL,NO0010597883,TRMED,Oslo Børs,NOK,1466989345,XOSL
THYSSENKRUPP,DE0007500001,4TKA,EuroTLX,EUR,4848.50,ETLX
TIETOEVRY,FI0009000277,TIETO,Oslo Børs,NOK,1694441.30,XOSL
TIKEHAU CAPITAL,FR0013230612,TKO,Euronext Paris,EUR,236498.25,XPAR
TINC,BE0974282148,TINC,Euronext Brussels,EUR,427826.73,XBRU
TINDE SPAREBANK,NO0010759988,TINDE,Euronext Growth Oslo,NOK,250.00,MERK
TINEXTA,IT0005037210,TNXT,Euronext Milan,EUR,3620312.59,MTAA
TISSAGES BRUGGEMAN,BE0036061746,-,Euronext Expert Market,EUR,1289.31,VPXB
TITAN,NL0010389508,TITAN,Euronext Amsterdam,EUR,377.30,XAMS
TITAN S.A.,BE0974338700,TITC,"Euronext Brussels, Paris",EUR,306879.80,
TJX COMPANIES INC,US8725401090,4TJX,EuroTLX,EUR,2334.00,ETLX
TKH GROUP,NL0000852523,TWEKA,Euronext Amsterdam,EUR,1991955.60,XAMS
TME PHARMA,NL0015000YE1,ALTME,Euronext Growth Paris,EUR,53153769,ALXP
TMP GROUP,IT0005531238,TMP,Euronext Growth Milan,EUR,832.00,EXGM
TOMRA SYSTEMS,NO0012470089,TOM,Oslo Børs,NOK,55297461.50,XOSL
TOMTOM,NL0013332471,TOM2,Euronext Amsterdam,EUR,944733.30,XAMS
TONNER DRONES,FR001400H2X4,ALTD,Euronext Growth Paris,EUR,675138.7426,ALXP
TONNER DRONES BSA,FR001400RIB4,TDBS,Euronext Growth Paris,EUR,11114.2932,ALXP
TOOSLA,FR00140062B9,ALTOO,Euronext Growth Paris,EUR,474611,ALXP
TOSCANA AEROPORTI,IT0000214293,TYA,Euronext Milan,EUR,3380.10,MTAA
TOTALENERGIES,FR0000120271,TTE,"Euronext Paris, Brussels",EUR,236348807.20,
TOTALENERGIES,FR0000120271,4TTE,EuroTLX,EUR,2680.08,ETLX
TotalEnergiesGabon,GA0000121459,EC,Euronext Paris,EUR,56780.00,XPAR
TOUAX,FR0000033003,TOUP,Euronext Paris,EUR,111773.32,XPAR
TOUR EIFFEL,FR0000036816,EIFF,Euronext Paris,EUR,2685.20,XPAR
TOYOTA CAETANO,PTSCT0AP0018,SCT,Euronext Lisbon,EUR,297.50,XLIS
TPS,IT0005246142,TPS,Euronext Growth Milan,EUR,7100.00,EXGM
TRADELAB,IT0005651507,TRAI,Euronext Growth Milan,EUR,131552.00,EXGM
TRANSGENE,FR0005175080,TNG,Euronext Paris,EUR,67080.78,XPAR
TRATON,DE000TRAT0N7,48TRA,EuroTLX,EUR,1125.40,ETLX
TRAWELL CO,IT0005378325,TWL,Euronext Growth Milan,EUR,113.00,EXGM
TREASURE,NO0010763550,TRE,Oslo Børs,NOK,7780.50,XOSL
TRENDEVICE,IT0005422792,TD,Euronext Growth Milan,EUR,17786.70,EXGM
TREVI FIN IND,IT0005422768,TFIN,Euronext Milan,EUR,1624775.7075,MTAA
TRIBOO,IT0005001554,TB,Euronext Milan,EUR,2255508,MTAA
TRIGANO,FR0005691656,TRI,Euronext Paris,EUR,3388546.20,XPAR
TRILOGIQ,FR0010397901,ALTRI,Euronext Growth Paris,EUR,6312.50,ALXP
TRIODOS BANK,NL0010407946,TRIO,Euronext Amsterdam,EUR,91146595,XAMS
TRIPADVISOR,US8969452015,4TRIP,EuroTLX,EUR,1235.20,ETLX
TROC ILE,FR0000031106,MLTRO,Euronext Access Paris,EUR,119.90,XMLI
TRONICS,FR0004175099,ALTRO,Euronext Growth Paris,EUR,117.25,ALXP
TRUIST FINL CORP.,US89832Q1094,4TFC,EuroTLX,EUR,416.57,ETLX
TRØNDELAG SPBK,NO0010788268,TRSB,Oslo Børs,NOK,5685.00,XOSL
TUBIZE (ATTR),BE0099967573,TUBAT,Euronext Expert Market,EUR,8.40,VPXB
TUBIZE-FIN,BE0003823409,TUB,Euronext Brussels,EUR,2129588.50,XBRU
TUI,DE000TUAG505,4TUI1U,EuroTLX,EUR,1141.20,ETLX
TXCOM,FR0010654087,ALTXC,Euronext Growth Paris,EUR,4674.00,ALXP
TXT E-SOLUTIONS,IT0001454435,TXT,Euronext Milan,EUR,460869.00,MTAA
TYSNES SPAREBANK,NO0010731615,TYSB,Euronext Growth Oslo,NOK,580.88,MERK
U10 CORP,FR0000079147,ALU10,Euronext Growth Paris,EUR,1209.06,ALXP
UBALDI COSTRUZIONI,IT0005628158,UBA,Euronext Growth Milan,EUR,40292.00,EXGM
UBER TECHNOLOGIES,US90353T1007,4UBER,EuroTLX,EUR,4928.80,ETLX
UBISOFT ENTERT,FR0000054470,4UBI,EuroTLX,EUR,965.00,ETLX
UBISOFT ENTERTAIN,FR0000054470,UBI,Euronext Paris,EUR,14204539504,XPAR
UCAPITAL GLOBAL,GB00BJ9M4V82,MLALE,Euronext Access Paris,EUR,64.69,XMLI
UCAPITAL24,IT0005380461,U24,Euronext Growth Milan,EUR,1526.80,EXGM
UCARE SERVICES BEL,BE0003838555,PNSB,Euronext Access Brussels,EUR,73.60,ALXB
UCB,BE0003739530,UCB,Euronext Brussels,EUR,47291659.90,XBRU
UCB,BE0003739530,4UCB,EuroTLX,EUR,351.40,ETLX
ULISSE BIOMED,IT0005451213,UBM,Euronext Growth Milan,EUR,33572.00,EXGM
UMALIS GROUP,FR0011776889,MLUMG,Euronext Access Paris,EUR,35.80,XMLI
UMG,NL0015000IY2,UMG,Euronext Amsterdam,EUR,49028547.63,XAMS
UMICORE,BE0974320526,UMI,Euronext Brussels,EUR,7742325.78,XBRU
UMICORE,BE0974320526,4UMI,EuroTLX,EUR,156.40,ETLX
UNDER ARMOUR - CLA,US9043111072,4UAA,EuroTLX,EUR,246.67,ETLX
UNIBAIL-RODAMCO-WE,FR0013326246,URW,Euronext Paris,EUR,36004242.20,XPAR
UNICREDIT,IT0005239360,UCG,Euronext Milan,EUR,687209776255,MTAA
UNIDATA,IT0005573065,UD,Euronext Milan,EUR,120440.80,MTAA
UNILEVER,GB00B10RZP78,UNA,Euronext Amsterdam,EUR,36691379.12,XAMS
UNION PACIFIC,US9078181081,4UNP,EuroTLX,EUR,2853.50,ETLX
UNION TECH.INFOR.,FR0000074197,FPG,Euronext Paris,EUR,6048.2002,XPAR
UNIPER,DE000UNSE026,4UN,EuroTLX,EUR,73.70,ETLX
UNIPHAR PLC,IE00BJ5FQX74,UPR,Euronext Growth Dublin,EUR,4777985548,XMSM
UNIPOL,IT0004810054,UNI,Euronext Milan,EUR,26480783.07,MTAA
UNITED AIRLINES H,US9100471096,4UAL,EuroTLX,EUR,3554.40,ETLX
UNITED INTERNET,DE0005089031,4UTDI,EuroTLX,EUR,424.06,ETLX
UNITEDHEALTH GROUP,US91324P1021,4UNH,EuroTLX,EUR,1938.00,ETLX
UNITI,FR0012709160,ALUNT,Euronext Growth Paris,EUR,1.57,ALXP
UPERGY,FR0010337865,ALUPG,Euronext Growth Paris,EUR,14246.75,ALXP
URCOLESA,ES0105748000,MLURC,Euronext Access Paris,EUR,-,XMLI
US BANCORP,US9029733048,4USB,EuroTLX,EUR,1883.50,ETLX
UTEXBEL,BE0017609521,-,Euronext Expert Market,EUR,7648.20,VPXB
UV GERMI,FR0011898584,ALUVI,Euronext Growth Paris,EUR,22562.90,ALXP
V LANSCHOT KEMPEN,NL0000302636,VLK,Euronext Amsterdam,EUR,1554456.10,XAMS
V.F.,US9182041080,4VFC,EuroTLX,EUR,446.15,ETLX
VAA VISTA ALEGRE,PTVAA0AM0019,VAF,Euronext Lisbon,EUR,79719.29,XLIS
VALBIOTIS,FR0013254851,ALVAL,Euronext Growth Paris,EUR,77866063,ALXP
VALEO,FR0013176526,4FR,EuroTLX,EUR,249.60,ETLX
VALEO,FR0013176526,FR,Euronext Paris,EUR,13736465.3425,XPAR
VALERIO TX,FR0010095596,ALVIO,Euronext Growth Paris,EUR,1631.2128,ALXP
VALICA,IT0005562514,VLC,Euronext Growth Milan,EUR,2246.40,EXGM
VALLOUREC,FR0013506730,VK,Euronext Paris,EUR,9856949025,XPAR
VALLOUREC BSA 21,FR00140030K7,VKBS,Euronext Paris,EUR,-,XPAR
VALNEVA,FR0004056851,4VLA,EuroTLX,EUR,291.00,ETLX
VALNEVA,FR0004056851,VLA,Euronext Paris,EUR,5748999.22,XPAR
VALSOIA,IT0001018362,VLS,Euronext Milan,EUR,28175.75,MTAA
VALTECNE,IT0005532525,VLT,Euronext Growth Milan,EUR,3990.00,EXGM
VALUE8,NL0010661864,VALUE,Euronext Amsterdam,EUR,1600.00,XAMS
VALUE8 CUM PREF,NL0015118803,PREVA,Euronext Amsterdam,EUR,1896.20,XAMS
VAN DE VELDE,BE0003839561,VAN,Euronext Brussels,EUR,81601.85,XBRU
VAN GENECHTEN,BE0944866863,-,Euronext Expert Market,EUR,-,VPXB
VANDOR REAL ESTATE,ES0105623005,MLVRE,Euronext Access Paris,EUR,-,XMLI
VANTAGE DRILLING I,BMG9551V1081,VDI,Euronext Growth Oslo,NOK,746.00,MERK
VANTEA SMART,IT0005433765,VNT,Euronext Growth Milan,EUR,3493.98,EXGM
VANTIVA,FR0013505062,VANTI,Euronext Paris,EUR,36157.2974,XPAR
VASTNED,BE0003754687,VASTB,"Euronext Brussels, Amsterdam",EUR,70448.20,
VAZIVA,FR0014007T10,ALVAZ,Euronext Growth Paris,EUR,7547.60,ALXP
VDK BANK,BE0022780820,-,Euronext Expert Market,EUR,3340.00,VPXB
VEIDEKKE,NO0005806802,VEI,Oslo Børs,NOK,4333666.80,XOSL
VEND SER. A,NO0003028904,VENDA,Oslo Børs,NOK,72302931.20,XOSL
VEND SER. B,NO0010736879,VENDB,Oslo Børs,NOK,53422332.10,XOSL
VENTE UNIQUE.COM,FR0010766667,ALVU,Euronext Growth Paris,EUR,56081.05,ALXP
VENTURA OFFSHORE,BMG730931091,VTURA,Euronext Growth Oslo,NOK,2999931.30,MERK
VEOLIA ENVIRON,FR0000124141,4VIE,EuroTLX,EUR,30.73,ETLX
VEOLIA ENVIRON.,FR0000124141,VIE,Euronext Paris,EUR,74185903875,XPAR
VEOM GROUP,FR0013530102,ALVG,Euronext Growth Paris,EUR,7216.6015,ALXP
VERALLIA,FR0013447729,VRLA,Euronext Paris,EUR,5898620.24,XPAR
VERBIO,DE000A0JL9W6,4VBK,EuroTLX,EUR,844.91,ETLX
Verbund AG,AT0000746409,4VER,EuroTLX,EUR,320.00,ETLX
VERGNET,FR001400JXA2,ALVER,Euronext Growth Paris,EUR,40049.9595,ALXP
VERIMATRIX,FR0010291245,VMX,Euronext Paris,EUR,28251.02,XPAR
VERIZON COMMUNICAT,US92343V1044,4VZ,EuroTLX,EUR,5877.53,ETLX
VERNEY CARRON,FR0006174496,MLVER,Euronext Access Paris,EUR,90.00,XMLI
VERSITY,FR0014003I41,MLVSY,Euronext Access Paris,EUR,12226.05,XMLI
VERTEX PHARMA,US92532F1003,4VRTX,EuroTLX,EUR,7949.70,ETLX
VETOQUINOL,FR0004186856,VETO,Euronext Paris,EUR,353307.70,XPAR
VGP,BE0003878957,VGP,Euronext Brussels,EUR,2302485.70,XBRU
VIALIFE,FR0010326090,ALVIA,Euronext Growth Paris,EUR,66.00,ALXP
VIATRIS INC,US92556V1061,4VTRS,EuroTLX,EUR,3030.40,ETLX
VICAT,FR0000031775,VCT,Euronext Paris,EUR,2905288.70,XPAR
VIEL ET COMPAGNIE,FR0000050049,VIL,Euronext Paris,EUR,255011.50,XPAR
VILA DOS NUMEROS,PTVUO0AM0000,MLVDN,Euronext Access Lisbon,EUR,-,XMLI
VIMI FASTENERS,IT0004717200,VIM,Euronext Growth Milan,EUR,4902.50,EXGM
VINCI,FR0000125486,DG,Euronext Paris,EUR,121335486575,XPAR
VINCI,FR0000125486,4DG,EuroTLX,EUR,250.80,ETLX
VINPAI,FR001400AXT1,ALVIN,Euronext Growth Paris,EUR,1798.94,ALXP
VIOHALCO,BE0974271034,VIO,Euronext Brussels,EUR,30587.75,XBRU
VIRBAC,FR0000031577,VIRP,Euronext Paris,EUR,3130501.50,XPAR
VIRGIN GALACTIC HO,US92766K4031,4SPCE,EuroTLX,EUR,2127.50,ETLX
VIRIDIEN,FR001400PVN6,VIRI,Euronext Paris,EUR,915008.90,XPAR
VIRTUALWARE,ES0105704003,ALVIR,Euronext Growth Paris,EUR,7.70,ALXP
VISA - CLASSE A,US92826C8394,4V,EuroTLX,EUR,3260.40,ETLX
VISIBILIA EDITORE,IT0005433732,VE,Euronext Growth Milan,EUR,92026.52,EXGM
VISTIN PHARMA,NO0010734122,VISTN,Oslo Børs,NOK,619725.20,XOSL
VITURA,FR0010309096,VTR,Euronext Paris,EUR,6.00,XPAR
VIVENDA GROUP,IT0005622581,VVG,Euronext Growth Milan,EUR,4050.00,EXGM
VIVENDI,FR0000127771,4VIV,EuroTLX,EUR,11106.36,ETLX
VIVENDI SE,FR0000127771,VIV,Euronext Paris,EUR,9140193.5075,XPAR
VIVORYON,NL00150002Q7,VVY,Euronext Amsterdam,EUR,35878538,XAMS
VNE,IT0005556110,VNE,Euronext Growth Milan,EUR,5845.00,EXGM
voestalpine AG,AT0000937503,4VOE,EuroTLX,EUR,251.60,ETLX
VOGO,FR0011532225,ALVGO,Euronext Growth Paris,EUR,4547.22,ALXP
VOLKSVERMOGEN,BE0947790037,-,Euronext Expert Market,EUR,1000.00,VPXB
VOLKSWAGEN,DE0007664039,4VOW3,EuroTLX,EUR,10819.20,ETLX
VOLKSWAGEN,DE0007664005,4VOW,EuroTLX,EUR,556.20,ETLX
VOLTA FINANCE,GG00B1GHHH78,VTA,Euronext Amsterdam,EUR,73142.00,XAMS
VOLTALIA,FR0011995588,VLTSA,Euronext Paris,EUR,348507.24,XPAR
VOLVO CAR,SE0000115446,4VOLVB,EuroTLX,EUR,12082.52,ETLX
VONOVIA,DE000A1ML7J1,4VNA,EuroTLX,EUR,2076.20,ETLX
VOORUITZICHT,BE0020918638,-,Euronext Expert Market,EUR,53550.00,VPXB
VOPAK,NL0009432491,VPK,Euronext Amsterdam,EUR,4176424.76,XAMS
VOSS VEKSEL OGLAND,NO0003025009,VVL,Oslo Børs,NOK,24720.00,XOSL
VOW,NO0010708068,VOW,Oslo Børs,NOK,1703015442,XOSL
VOYAGEURS DU MONDE,FR0004045847,ALVDM,Euronext Growth Paris,EUR,20693.00,ALXP
VRANKEN-POMMERY,FR0000062796,VRAP,"Euronext Paris, Brussels",EUR,17158.40,
VREF SEVILLE,ES0105492005,MLVRF,Euronext Access Paris,EUR,-,XMLI
VusionGroup,FR0010282822,VU,Euronext Paris,EUR,8657951.00,XPAR
VÅR ENERGI,NO0011202772,VAR,Oslo Børs,NOK,148172725.44,XOSL
W AATECH 23-26,IT0005550501,WAAT26,Euronext Growth Milan,EUR,360.50,EXGM
W ABC COMP 22-29,IT0005515363,WABC29,Euronext Growth Milan,EUR,0.17,EXGM
W ACQUAZZUR 21-26,IT0005443087,WACQ26,Euronext Growth Milan,EUR,500.00,EXGM
W ADRIATICA 24-27,IT0005600231,WDEA27,Euronext Growth Milan,EUR,2.34,EXGM
W ALFIO BARD 17-27,IT0005245607,WABTG,Euronext Growth Milan,EUR,94.45,EXGM
W AMBROMOBIL 20-26,IT0005425092,WAMB26,Euronext Growth Milan,EUR,3.75,EXGM
W COPERNICO 19-25,IT0005379372,WCOP25,Euronext Growth Milan,EUR,1071.01,EXGM
W CUBE LABS 2025,IT0005532608,WCUBE,Euronext Growth Milan,EUR,424.75,EXGM
W DEOD GALLE 23-28,IT0005528929,WART28,Euronext Growth Milan,EUR,629.00,EXGM
W ELES 19-26,IT0005374258,WELES,Euronext Growth Milan,EUR,10020.92,EXGM
W EPRCOMUNIC 22-25,IT0005519795,WEPRB,Euronext Growth Milan,EUR,5863.00,EXGM
W FAE TECH 22-25,IT0005500639,WFAE25,Euronext Growth Milan,EUR,575975,EXGM
W FIN TECH 21-26,IT0005475147,WFTC26,Euronext Growth Milan,EUR,1075,EXGM
W FRANCHETTI 22-25,IT0005508558,WFCH25,Euronext Growth Milan,EUR,1757.82,EXGM
W FRANCHI U MARMI,IT0005335739,WFUM,Euronext Growth Milan,EUR,324.22,EXGM
W G.M. LEATH 22-27,IT0005498602,WGML27,Euronext Growth Milan,EUR,32.00,EXGM
W GISMONDI 19-26,IT0005391104,WGIS26,Euronext Growth Milan,EUR,376.74,EXGM
W GT TALENT 24-27,IT0005607541,WGT27,Euronext Growth Milan,EUR,2030.00,EXGM
W HAIKI+ 25-26,IT0005628760,WHIK26,Euronext Growth Milan,EUR,210.45,EXGM
W IMPIANTI 22-25,IT0005518938,WMPT25,Euronext Growth Milan,EUR,104.20,EXGM
W INNOVATEC 23-26,IT0005568305,WINC26,Euronext Growth Milan,EUR,226.00,EXGM
W IVISION 23-26,IT0005554776,WIVN26,Euronext Growth Milan,EUR,3741.97,EXGM
W LEMON 23-26,IT0005573305,WLS26,Euronext Growth Milan,EUR,389.50,EXGM
W NUSCO 21-26,IT0005453086,WNUS26,Euronext Growth Milan,EUR,2558.50,EXGM
W OSAI 2020-2025,IT0005424822,WOSA25,Euronext Growth Milan,EUR,236.00,EXGM
W PALINGEO 24-26,IT0005575573,WPAL26,Euronext Growth Milan,EUR,1065565,EXGM
W POZZI MI 22-2027,IT0005499923,WPOZ27,Euronext Growth Milan,EUR,477.50,EXGM
W REDFISH 23-25,IT0005549347,WRFLTC,Euronext Growth Milan,EUR,62.00,EXGM
W RENOVALO 22-25,IT0005500555,WRNV25,Euronext Growth Milan,EUR,8.20,EXGM
W ROCKET S C 22-25,IT0005481822,WRKT25,Euronext Growth Milan,EUR,2.00,EXGM
W SAC F FRAN 22-25,IT0005521536,WSAC25,Euronext Growth Milan,EUR,173.60,EXGM
W SG COMPANY 18-28,IT0005347593,WSGC28,Euronext Growth Milan,EUR,2887.50,EXGM
W SICILY BY CAR A,IT0005556532,WSBCA,Euronext Growth Milan,EUR,1.50,EXGM
W SICILY BY CAR B,IT0005556599,WSBCB,Euronext Growth Milan,EUR,0.89,EXGM
W SICILY BY CAR C,IT0005556607,WSBCC,Euronext Growth Milan,EUR,17.57,EXGM
W SOGES 2024-2027,IT0005597551,WSOGES,Euronext Growth Milan,EUR,60898.99,EXGM
W SOST.COM 21-26,IT0005446718,WSOS26,Euronext Growth Milan,EUR,248.00,EXGM
W TMP GROUP 23-25,IT0005531253,WTMP25,Euronext Growth Milan,EUR,1.20,EXGM
W TRAWELL CO 21-26,IT0005446726,WTWL26,Euronext Growth Milan,EUR,374451,EXGM
W ULISSE BIO 21-26,IT0005453789,WUBM26,Euronext Growth Milan,EUR,316.95,EXGM
WA SOLID W G 22-25,IT0005498420,WS3D25,Euronext Growth Milan,EUR,16345,EXGM
WACKER CHEMIE,DE000WCH8881,4WCH,EuroTLX,EUR,2072.04,ETLX
WAGA ENERGY,FR0012532810,WAGA,Euronext Paris,EUR,249412.15,XPAR
WALGREENS BOOTS AL,US9314271084,4WBA,EuroTLX,EUR,392.17,ETLX
WALLENIUS WILHELMS,NO0010571680,WAWI,Oslo Børs,NOK,54989298.60,XOSL
WALLIX,FR0010131409,ALLIX,Euronext Growth Paris,EUR,551475.25,ALXP
WALMART,US9311421039,4WMT,EuroTLX,EUR,8076.00,ETLX
WAREHOUSES ESTATES,BE0003734481,WEB,Euronext Brussels,EUR,15983.80,XBRU
WARNER BROS DISCOV,US9344231041,4WBD,EuroTLX,EUR,2070.60,ETLX
WARR ARRAS 23-26,IT0005540643,WAGU26,Euronext Growth Milan,EUR,100.00,EXGM
WARR DHH 25-28,IT0005645541,WDHH28,Euronext Growth Milan,EUR,1984.00,EXGM
WARR DOTSTAY 22-25,IT0005523821,WDOT25,Euronext Growth Milan,EUR,1200.00,EXGM
WARR E-GLOBE 23-26,IT0005557472,WEGB26,Euronext Growth Milan,EUR,220.00,EXGM
WARR EXECUS 23-26,IT0005557498,WEXE26,Euronext Growth Milan,EUR,1340.00,EXGM
